k,avg_err
19.0,5.491747522534538
19.2,5.4406737407753605
19.4,5.604658150606196
19.6,5.267882871342207
19.8,5.578499182950036
20.0,4.908636611919717
20.2,5.489837906307089
20.4,4.852156921811051
20.6,4.852157561176679
20.8,5.112663745517371
21.0,5.007228334205449
21.2,4.696635484387933
21.4,5.2839519688685215
21.6,5.045839572236917
21.8,5.167084460931231
